key,description,en,ru
page-home-title,,Home,Главная
page-dashboard-title,, Launchpad, Лаунчпады
page-listing-title,,Listing,Листинг
page-products-title,,Products,Продукты
page-resources-title,,Resources,Ресурсы
page-company-title,,Company,Компания
common-powered-by,,Powered by,Powered by
common-all-rights-reserved,,All rights reserved © 2021 By,All rights reserved © 2021 By
common-no-advice,,No advice,No advice
common-risk-warnings,,Risk warnings,Risk warnings
common-description-no-advice,,The information on this Site is provided for information only and does not constitute; and should not be construed as; investment advice or a recommendation to buy; sell; or otherwise transact in any investment including any products or services or an invitation; offer or solicitation to engage in any investment activity. The information on this Site is provided solely on the basis that you will make your own investment decisions and ANYX does not take account of any investor’s investment objectives; particular needs; or financial situation. In addition; nothing on this Site shall; or is intended to; constitute financial; legal; accounting or tax advice. ANYX is not responsible for any projects listed on the platform; as well as funds invested by the community. Anyx is not responsible for any loss that may occur. It is strongly recommended that you seek professional investment advice before making any investment decision. Any investment decision that you make should be based on an assessment of your risks in consultation with your investment adviser.,The information on this Site is provided for information only and does not constitute; and should not be construed as; investment advice or a recommendation to buy; sell; or otherwise transact in any investment including any products or services or an invitation; offer or solicitation to engage in any investment activity. The information on this Site is provided solely on the basis that you will make your own investment decisions and ANYX does not take account of any investor’s investment objectives; particular needs; or financial situation. In addition; nothing on this Site shall; or is intended to; constitute financial; legal; accounting or tax advice. ANYX is not responsible for any projects listed on the platform; as well as funds invested by the community. Anyx is not responsible for any loss that may occur. It is strongly recommended that you seek professional investment advice before making any investment decision. Any investment decision that you make should be based on an assessment of your risks in consultation with your investment adviser.
common-description-risk-warnings,,There are significant risks associated with an investment in any products or services listed on ANYX. Investment in the products and services is intended only for those investors who can accept the risks associated with such an investment (including the risk of a complete loss of investment) and you should ensure you have fully understood such risks before taking any decision to invest. Past performance does not guarantee future performance and the value of investments can fall as well as rise. No investment strategy is without risk and markets influence investment performance. Investment markets and conditions can change rapidly. Strategies or products can lose money as well as gain. All investors should consider investing only if they can accept the risks associated with investing including a loss of invested capital. Investors with questions should additionally seek independent investment advice tailored to their needs; circumstances; and risk tolerances. The use of the ANYX website is prohibited for citizens and/or residents of the following countries (territories): United States of America; American Virgin Islands; American Samoa; Guam; Afghanistan; Iran; Iraq; Yemen; North Korea; Northern Mariana Islands; Libya; Pakistan; Puerto Rico; Palestine; Syria; USA; Somalia and Sudan.,There are significant risks associated with an investment in any products or services listed on ANYX. Investment in the products and services is intended only for those investors who can accept the risks associated with such an investment (including the risk of a complete loss of investment) and you should ensure you have fully understood such risks before taking any decision to invest. Past performance does not guarantee future performance and the value of investments can fall as well as rise. No investment strategy is without risk and markets influence investment performance. Investment markets and conditions can change rapidly. Strategies or products can lose money as well as gain. All investors should consider investing only if they can accept the risks associated with investing including a loss of invested capital. Investors with questions should additionally seek independent investment advice tailored to their needs; circumstances; and risk tolerances. The use of the ANYX website is prohibited for citizens and/or residents of the following countries (territories): United States of America; American Virgin Islands; American Samoa; Guam; Afghanistan; Iran; Iraq; Yemen; North Korea; Northern Mariana Islands; Libya; Pakistan; Puerto Rico; Palestine; Syria; USA; Somalia and Sudan.

page-project-enter-recipient-address,,Enter the recipient’s address for BEP-20 token*, Введите адрес получателя токена BEP-20 *
page-project-leave-blank,,* Leave blank to create a new wallet, * Оставьте поле пустым чтобы создать новый кошелек
page-project-make-payment,,Make Payment, Совершить платеж
page-project-amount-must,, Amount must be more or equal than, Сумма должна быть больше или равна
page-project-you-send,, YOU SEND, Вы посылаете
page-project-you-get,, YOU GET, Вы получаете

landing-main-title,,The most user-friendly Launchpad platform!,Лучшая платформа для запуска токенов!
landing-token-button,,List your token,Разместите токен
landing-buy-button,,Buy ANYX,Купить ANYX
landing-problems-title,,Problems that we solve?,Какие проблемы мы решаем?
landing-questions-title,,Frequently Asked Questions,Часто Задаваемые Вопросы
landing-admin-card-title,,Any questions?,Остались вопросы?
landing-admin-description,,We are more than happy to answer. We are also looking for: developers business development managers investors and partners.,Мы будем рады ответить в социальных сетях или в телеграме, который вы видите на экране.
landing-problems-idx0-title,,Investing in new projects is complicated,Инвестировать в начинающие проекты - тяжело
landing-problems-idx0-text,,Via our platform people can invest their crypto of choise straight from their exchanges without need to use an external wallet or registration,Наши пользователи могут инвестировать в любой токен с помощью их любимой криптовалюты без необходимости использовать отдельный кошелёк или регистрироваться
landing-problems-idx1-title,,Instead of focusing on the project teams are distracted arranging a token sale,Вместо фокусировки на проекте команды вынуждены отвлекаться на организацию продаж токенов
landing-problems-idx1-text,,With Anyx anybody can set up a token sale within 15 minutes and start acceptng funds from all over the world in more than 10 cryptocurrencies.,Используя Anyx каждый может начать продавать свои токены за 15 минут принимая платежи со всего мира в более чем в 10 криптовалютах.
landing-problems-idx2-title,,Centralized platforms are tough to get listed on,Листинг надругих платформах - затруднён
landing-problems-idx2-text,,Despite most of our processing is currently done on back-end we employ the spirit of decentralized economy. Therefore we don't do face-control for projects and let the market decide who deserves the capital,У нас нет фейс-контроля проектов и каждый может удобным образом разместить свой токен. При необходимости менеджеры помогут управлять продажей токена.
landing-questions-idx0-title,,What is Anyx?,Что такое Anyx?
